,original,Texto,endereço,tipo
26,"OBS.: O constitucionalismo moderno surgiu no século XVIII, trazendo novos conceitos e práticas constitucionais, como a separação de poderes, os direitos individuais e a supremacia constitucional.","OBS.: O constitucionalismo moderno surgiu no século XVIII, trazendo novos conceitos e práticas constitucionais, como a separação de poderes, os direitos individuais e a supremacia constitucional.","cf88,0,,,,1,,,",questao
27,"OBS.: Segundo o delineamento constitucional, os poderes do Estado são independentes e harmônicos entre si e suas funções são reciprocamente indelegáveis.","OBS.: Segundo o delineamento constitucional, os poderes do Estado são independentes e harmônicos entre si e suas funções são reciprocamente indelegáveis.","cf88,0,,,,1,,,",questao
28,"OBS.: A repartição do poder estatal em funções ? legislativa, executiva e jurisdicional ? não descaracteriza a sua unicidade e indivisibilidade.","OBS.: A repartição do poder estatal em funções ? legislativa, executiva e jurisdicional ? não descaracteriza a sua unicidade e indivisibilidade.","cf88,0,,,,1,,,",questao
29,"OBS.: A função administrativa NÃO é exclusiva do Poder Executivo, SENDO possível seu exercício pelos outros poderes da República.","OBS.: A função administrativa NÃO é exclusiva do Poder Executivo, SENDO possível seu exercício pelos outros poderes da República.","cf88,0,,,,1,,,",questao
30,"OBS.: A aplicação da lei pelo Poder Executivo, no exercício da função administrativa, INDEPENDE de provocação do interessado, sendo PERMITIDA a aplicação de ofício.","OBS.: A aplicação da lei pelo Poder Executivo, no exercício da função administrativa, INDEPENDE de provocação do interessado, sendo PERMITIDA a aplicação de ofício.","cf88,0,,,,1,,,",questao
31,"OBS.: A CF conferiu elevado status constitucional ao MP, desvinculando-o dos capítulos dos Poderes Legislativo, Executivo e Judiciário.","OBS.: A CF conferiu elevado status constitucional ao MP, desvinculando-o dos capítulos dos Poderes Legislativo, Executivo e Judiciário.","cf88,0,,,,1,,,",questao
46,"OBS.: No âmbito das relações internacionais, a República Federativa do Brasil adotou expressamente como princípio o repúdio ao terrorismo e ao racismo.","OBS.: No âmbito das relações internacionais, a República Federativa do Brasil adotou expressamente como princípio o repúdio ao terrorismo e ao racismo.","cf88,0,,,,3,17,,",questao
49,OBS.: A Constituição Federal de 1988 (CF) PREVÊ expressamente o princípio da concessão de asilo político.,OBS.: A Constituição Federal de 1988 (CF) PREVÊ expressamente o princípio da concessão de asilo político.,"cf88,0,,,,3,19,,",questao
52,"OBS.: Os direitos e as garantias expressos na Constituição Federal de 1988 (CF) NÃO excluem outros de caráter constitucional decorrentes do regime e dos princípios por ela adotados, uma vez que a enumeração constante no artigo 5.º da CF é EXEMPLIFICATIVA.","OBS.: Os direitos e as garantias expressos na Constituição Federal de 1988 (CF) NÃO excluem outros de caráter constitucional decorrentes do regime e dos princípios por ela adotados, uma vez que a enumeração constante no artigo 5.º da CF é EXEMPLIFICATIVA.","cf88,1,0,,,4,,,",questao
53,"OBS.: Na CF, a classificação dos direitos e garantias fundamentais restringe-se a CINCO categorias: os direitos individuais e coletivos, os direitos de nacionalidade e os direitos políticos, DIREITOS SOCIAIS E DIREITOS DOS PARTIDOS POLÍTICOS","OBS.: Na CF, a classificação dos direitos e garantias fundamentais restringe-se a CINCO categorias: os direitos individuais e coletivos, os direitos de nacionalidade e os direitos políticos, DIREITOS SOCIAIS E DIREITOS DOS PARTIDOS POLÍTICOS","cf88,1,0,,,4,,,",questao
54,"OBS.: Os direitos fundamentais de SEGUNDA dimensão são aqueles que outorgam ao indivíduo direitos a prestações sociais estatais, caracterizando-se, na maioria das vezes, como normas constitucionais programáticas.","OBS.: Os direitos fundamentais de SEGUNDA dimensão são aqueles que outorgam ao indivíduo direitos a prestações sociais estatais, caracterizando-se, na maioria das vezes, como normas constitucionais programáticas.","cf88,1,0,,,4,,,",questao
55,OBS.: As liberdades individuais garantidas na Constituição Federal de 1988 não possuem caráter absoluto.,OBS.: As liberdades individuais garantidas na Constituição Federal de 1988 não possuem caráter absoluto.,"cf88,1,0,,,4,,,",questao
56,"OBS.: O direito ao meio ambiente ecologicamente equilibrado é considerado um direito fundamental de terceira geração, em razão de ser baseado no interesse comum que liga e une as pessoas e ter caráter universal.","OBS.: O direito ao meio ambiente ecologicamente equilibrado é considerado um direito fundamental de terceira geração, em razão de ser baseado no interesse comum que liga e une as pessoas e ter caráter universal.","cf88,1,0,,,4,,,",questao
57,OBS.: O direito à integridade do meio ambiente é típico direito de terceira dimensão e constitui prerrogativa jurídica de titularidade coletiva.,OBS.: O direito à integridade do meio ambiente é típico direito de terceira dimensão e constitui prerrogativa jurídica de titularidade coletiva.,"cf88,1,0,,,4,,,",questao
58,OBS.: O direito ao meio ambiente ecologicamente equilibrado é considerado direito fundamental de terceira geração.,OBS.: O direito ao meio ambiente ecologicamente equilibrado é considerado direito fundamental de terceira geração.,"cf88,1,0,,,4,,,",questao
59,"OBS.: As pessoas jurídicas são beneficiárias dos direitos e garantias individuais, desde que tais direitos sejam compatíveis com sua natureza.","OBS.: As pessoas jurídicas são beneficiárias dos direitos e garantias individuais, desde que tais direitos sejam compatíveis com sua natureza.","cf88,1,0,,,4,,,",questao
60,OBS.: A CF traz uma enumeração EXEMPLIFICATIVA dos direitos fundamentais.,OBS.: A CF traz uma enumeração EXEMPLIFICATIVA dos direitos fundamentais.,"cf88,1,0,,,4,,,",questao
61,"OBS.: Embora não haja menção expressa no texto da CF, determinados direitos e garantias fundamentais poderão ser estendidos às pessoas jurídicas.","OBS.: Embora não haja menção expressa no texto da CF, determinados direitos e garantias fundamentais poderão ser estendidos às pessoas jurídicas.","cf88,1,0,,,4,,,",questao
62,"OBS.: É possível conceber a Teoria do Impacto Desproporcional como aquela que permite que se constatem violações ao princípio da igualdade quando os efeitos práticos de determinadas normas, aparentemente neutras, causem dano excessivo, ainda que não intencional, aos integrantes de determinados grupos vulneráveis.","OBS.: É possível conceber a Teoria do Impacto Desproporcional como aquela que permite que se constatem violações ao princípio da igualdade quando os efeitos práticos de determinadas normas, aparentemente neutras, causem dano excessivo, ainda que não intencional, aos integrantes de determinados grupos vulneráveis.","cf88,1,0,,,4,,,",questao
63,OBS.: As liberdades existenciais ENCONTRAM MAIS ENFASE QUE AS LIBERDADES econômicas.,OBS.: As liberdades existenciais ENCONTRAM MAIS ENFASE QUE AS LIBERDADES econômicas.,"cf88,1,0,,,4,,,",questao
66,"OBS.: Dado o princípio da LEGALIDADE, NÃO é possível à administração pública, mediante portaria, impor vedações ou criar obrigações aos administrados.","OBS.: Dado o princípio da LEGALIDADE, NÃO é possível à administração pública, mediante portaria, impor vedações ou criar obrigações aos administrados.","cf88,1,0,,,4,22,,",questao
69,"OBS.: É livre a manifestação do pensamento, NÃO sendo o anonimato protegido em face do resguardo à integridade física das pessoas.","OBS.: É livre a manifestação do pensamento, NÃO sendo o anonimato protegido em face do resguardo à integridade física das pessoas.","cf88,1,0,,,4,24,,",questao
74,"OBS.: Ninguém poderá ser privado do exercício de um direito por invocar crença religiosa ou convicção filosófica ou política para eximir-se de obrigação legal a todos imposta, SALVO SE EXIMIR-SE DA CONTRAPRESTAÇÃO ALTERNATIVA.","OBS.: Ninguém poderá ser privado do exercício de um direito por invocar crença religiosa ou convicção filosófica ou política para eximir-se de obrigação legal a todos imposta, SALVO SE EXIMIR-SE DA CONTRAPRESTAÇÃO ALTERNATIVA.","cf88,1,0,,,4,28,,",questao
76,"OBS.: A expressão de atividade artística é livre,  E É INDEPENDENTE de licença específica.","OBS.: A expressão de atividade artística é livre,  E É INDEPENDENTE de licença específica.","cf88,1,0,,,4,29,,",questao
78,"OBS.: Se determinada pessoa tomar ciência de que será publicada matéria jornalística que ofenda sua privacidade ou honra, LHE será assegurado o direito de requerer na via judicial que a respectiva matéria não seja divulgada. Ao ofendido NÃO restará apenas a correspondente compensação econômica, E  NÃO tem como premissa necessária a consumação do prejuízo ao direito fundamental. ?Liberdade de imprensa. Decisão liminar. Proibição de reprodução de dados relativos ao autor de ação inibitória ajuizada contra empresa jornalística. Ato decisório fundado na expressa invocação da inviolabilidade constitucional de direitos da personalidade, notadamente o da privacidade, mediante proteção de sigilo legal de dados cobertos por segredo de justiça. (...) Não ofende a autoridade do acórdão proferido na ADPF 130, a decisão que, proibindo a jornal a publicação de fatos relativos ao autor de ação inibitória, se fundou, de maneira expressa, na inviolabilidade constitucional de direitos da personalidade, notadamente o da privacidade, mediante proteção de sigilo legal de dados cobertos por segredo de justiça.? (Rcl 9.428, Rel. Min. Cezar Peluso, julgamento em 10-12-2009, Plenário, DJE de 25-6-2010.)","OBS.: Se determinada pessoa tomar ciência de que será publicada matéria jornalística que ofenda sua privacidade ou honra, LHE será assegurado o direito de requerer na via judicial que a respectiva matéria não seja divulgada. Ao ofendido NÃO restará apenas a correspondente compensação econômica, E  NÃO tem como premissa necessária a consumação do prejuízo ao direito fundamental. ?Liberdade de imprensa. Decisão liminar. Proibição de reprodução de dados relativos ao autor de ação inibitória ajuizada contra empresa jornalística. Ato decisório fundado na expressa invocação da inviolabilidade constitucional de direitos da personalidade, notadamente o da privacidade, mediante proteção de sigilo legal de dados cobertos por segredo de justiça. (...) Não ofende a autoridade do acórdão proferido na ADPF 130, a decisão que, proibindo a jornal a publicação de fatos relativos ao autor de ação inibitória, se fundou, de maneira expressa, na inviolabilidade constitucional de direitos da personalidade, notadamente o da privacidade, mediante proteção de sigilo legal de dados cobertos por segredo de justiça.? (Rcl 9.428, Rel. Min. Cezar Peluso, julgamento em 10-12-2009, Plenário, DJE de 25-6-2010.)","cf88,1,0,,,4,30,,",questao
80,OBS.: O Ministério Público NÃO pode determinar a violação de um domicílio para realização de busca e apreensão de objetos que possam servir de prova em um processo.,OBS.: O Ministério Público NÃO pode determinar a violação de um domicílio para realização de busca e apreensão de objetos que possam servir de prova em um processo.,"cf88,1,0,,,4,31,,",questao
81,"OBS.: Escritório de advocacia de advogado investigado pode ser alvo de busca e apreensão por autoridade judicial, que deverá se ater aos documentos e provas que digam respeito exclusivamente ao objeto da investigação judicial, sob pena de ser declarada nula a apreensão de todo o material que extrapolar o âmbito da investigação.","OBS.: Escritório de advocacia de advogado investigado pode ser alvo de busca e apreensão por autoridade judicial, que deverá se ater aos documentos e provas que digam respeito exclusivamente ao objeto da investigação judicial, sob pena de ser declarada nula a apreensão de todo o material que extrapolar o âmbito da investigação.","cf88,1,0,,,4,31,,",questao
82,"OBS.: Sobre a garantia constitucional da inviolabilidade do domicílio, é INCORRETO afirmar: O juiz pode ordenar o ingresso no domicílio, à noite, para apreensão de coisa litigiosa.","OBS.: Sobre a garantia constitucional da inviolabilidade do domicílio, é INCORRETO afirmar: O juiz pode ordenar o ingresso no domicílio, à noite, para apreensão de coisa litigiosa.","cf88,1,0,,,4,31,,",questao
83,OBS.: NÃO Constitui crime de resistência bloquear o ingresso de oficial de justiça munido de mandado de intimação no domicílio durante o período noturno do sábado.,OBS.: NÃO Constitui crime de resistência bloquear o ingresso de oficial de justiça munido de mandado de intimação no domicílio durante o período noturno do sábado.,"cf88,1,0,,,4,31,,",questao
84,OBS.: O Ministério Público NÃO pode determinar a violação de domicílio alheio para a realização de uma busca e apreensão de materiais e equipamentos que possam servir como prova em um processo.,OBS.: O Ministério Público NÃO pode determinar a violação de domicílio alheio para a realização de uma busca e apreensão de materiais e equipamentos que possam servir como prova em um processo.,"cf88,1,0,,,4,31,,",questao
86,"OBS.: As evidências decorrentes da quebra dos sigilos bancário e fiscal, pelo MP, de um investigado NÃO SÃO VÁLIDAS, SOMENTE O JUIZ PODE DECRETAR TAL PROCEDIMENTO.","OBS.: As evidências decorrentes da quebra dos sigilos bancário e fiscal, pelo MP, de um investigado NÃO SÃO VÁLIDAS, SOMENTE O JUIZ PODE DECRETAR TAL PROCEDIMENTO.","cf88,1,0,,,4,32,,",questao
87,"OBS.: Somente se houver prévia autorização judicial, serão considerados prova lícita os dados e as conversas registrados no aplicativo WhatsApp colhidos de aparelho celular apreendido quando da prisão em flagrante.","OBS.: Somente se houver prévia autorização judicial, serão considerados prova lícita os dados e as conversas registrados no aplicativo WhatsApp colhidos de aparelho celular apreendido quando da prisão em flagrante.","cf88,1,0,,,4,32,,",questao
88,"OBS.: Havendo evidências da participação do indiciado em organização criminosa, O JUIZ ( E NÃO A AUTORIDADE POLÍCIAL) poderá determinar a quebra do sigilo da sua comunicação telefônica como forma de instruir investigação criminal.","OBS.: Havendo evidências da participação do indiciado em organização criminosa, O JUIZ ( E NÃO A AUTORIDADE POLÍCIAL) poderá determinar a quebra do sigilo da sua comunicação telefônica como forma de instruir investigação criminal.","cf88,1,0,,,4,32,,",questao
89,"OBS.: Se, em sede de investigação criminal ou instrução processual penal conduzida pelo MPU, fizer-se necessária a quebra do sigilo de comunicação telefônica e fiscal de indivíduo investigado ou processado, o parquet deverá requerê-la ao órgão judicial competente, já que não tem competência para determiná-la unilateralmente.","OBS.: Se, em sede de investigação criminal ou instrução processual penal conduzida pelo MPU, fizer-se necessária a quebra do sigilo de comunicação telefônica e fiscal de indivíduo investigado ou processado, o parquet deverá requerê-la ao órgão judicial competente, já que não tem competência para determiná-la unilateralmente.","cf88,1,0,,,4,32,,",questao
90,OBS.: O sigilo das comunicações telefônicas pode ser violado por determinação judicial nas hipóteses em que a lei estabelecer para fins de instrução processual penal.,OBS.: O sigilo das comunicações telefônicas pode ser violado por determinação judicial nas hipóteses em que a lei estabelecer para fins de instrução processual penal.,"cf88,1,0,,,4,32,,",questao
91,"OBS.: Seria incompatível com as normas constitucionais garantidoras de direitos e garantias fundamentais a interceptação de comunicações telefônicas, para fins de investigação criminal, por determinação da autoridade policial competente.","OBS.: Seria incompatível com as normas constitucionais garantidoras de direitos e garantias fundamentais a interceptação de comunicações telefônicas, para fins de investigação criminal, por determinação da autoridade policial competente.","cf88,1,0,,,4,32,,",questao
92,"OBS.: Caso uma pessoa seja ré em processo criminal por supostamente ter cometido homicídio qualificado, eventual interceptação de suas comunicações telefônicas dependerá de ordem do juiz competente, sob segredo de justiça.","OBS.: Caso uma pessoa seja ré em processo criminal por supostamente ter cometido homicídio qualificado, eventual interceptação de suas comunicações telefônicas dependerá de ordem do juiz competente, sob segredo de justiça.","cf88,1,0,,,4,32,,",questao
93,"OBS.: A Polícia Civil, em uma operação de combate ao tráfico de drogas, prendeu Adelmo em flagrante. Durante a operação, na residência do indiciado, apreendeu-se, além de grande quantidade de cocaína, um smartphone que continha toda a movimentação negocial de Adelmo e seus clientes, o que confirmava o tráfico e toda a estrutura da organização criminosa. Se a prisão em flagrante tiver sido precedida de mandado de busca e apreensão do smartphone de Adelmo, então, ainda que não haja, no referido mandado, a previsão de quebra do sigilo de dados, não haverá qualquer ilegalidade no acesso às informações contidas no referido aparelho.","OBS.: A Polícia Civil, em uma operação de combate ao tráfico de drogas, prendeu Adelmo em flagrante. Durante a operação, na residência do indiciado, apreendeu-se, além de grande quantidade de cocaína, um smartphone que continha toda a movimentação negocial de Adelmo e seus clientes, o que confirmava o tráfico e toda a estrutura da organização criminosa. Se a prisão em flagrante tiver sido precedida de mandado de busca e apreensão do smartphone de Adelmo, então, ainda que não haja, no referido mandado, a previsão de quebra do sigilo de dados, não haverá qualquer ilegalidade no acesso às informações contidas no referido aparelho.","cf88,1,0,,,4,32,,",questao
94,"OBS.: Nos crimes contra o Sistema Financeiro Nacional, a autoridade policial NÃO poderá decretar a quebra do sigilo bancário dos investigados.","OBS.: Nos crimes contra o Sistema Financeiro Nacional, a autoridade policial NÃO poderá decretar a quebra do sigilo bancário dos investigados.","cf88,1,0,,,4,32,,",questao
96,"OBS.: A garantia constitucional ao livre exercício de qualquer trabalho, ofício ou profissão pode ser restringida, por lei, em relação à qualificação profissional ou em relação ao exercício da atividade em si, NÃO SE tratando de hipótese de reserva legal simples, MAS DE RESERVA LEGAL QUALIFICADA. Obs.: Reserva Legal Simples x Qualificada.","OBS.: A garantia constitucional ao livre exercício de qualquer trabalho, ofício ou profissão pode ser restringida, por lei, em relação à qualificação profissional ou em relação ao exercício da atividade em si, NÃO SE tratando de hipótese de reserva legal simples, MAS DE RESERVA LEGAL QUALIFICADA. Obs.: Reserva Legal Simples x Qualificada.","cf88,1,0,,,4,33,,",questao
100,"OBS.:   O governo de determinado estado da Federação publicou medida provisória (MP) que altera dispositivos da Lei de Diretrizes e Bases da Educação Nacional. Em protesto contra a referida MP, alguns estudantes do ensino médio do estado ocuparam as escolas públicas, impedindo que os demais alunos frequentassem as aulas. O Ministério Público estadual ingressou com medida judicial requerendo a imediata reintegração e desocupação das escolas invadidas. A medida judicial requerida foi deferida por um juiz de primeiro grau que tomou posse há vinte meses. O juiz agiu corretamente ao deferir a medida judicial, uma vez que a conduta dos alunos não encontra amparo no direito fundamental à liberdade de expressão e de livre reunião e manifestação.","OBS.:   O governo de determinado estado da Federação publicou medida provisória (MP) que altera dispositivos da Lei de Diretrizes e Bases da Educação Nacional. Em protesto contra a referida MP, alguns estudantes do ensino médio do estado ocuparam as escolas públicas, impedindo que os demais alunos frequentassem as aulas. O Ministério Público estadual ingressou com medida judicial requerendo a imediata reintegração e desocupação das escolas invadidas. A medida judicial requerida foi deferida por um juiz de primeiro grau que tomou posse há vinte meses. O juiz agiu corretamente ao deferir a medida judicial, uma vez que a conduta dos alunos não encontra amparo no direito fundamental à liberdade de expressão e de livre reunião e manifestação.","cf88,1,0,,,4,36,,",questao
101,"OBS.: A respeito dos direitos e deveres individuais e coletivos, todos poderão reunir-se pacificamente, em locais abertos ao público, NÃO SENDO NECESSÁRIA A prévia autorização do poder.","OBS.: A respeito dos direitos e deveres individuais e coletivos, todos poderão reunir-se pacificamente, em locais abertos ao público, NÃO SENDO NECESSÁRIA A prévia autorização do poder.","cf88,1,0,,,4,36,,",questao
102,OBS.: NÃO É incondicional o direito à reunião com fins pacíficos em local aberto ao público.,OBS.: NÃO É incondicional o direito à reunião com fins pacíficos em local aberto ao público.,"cf88,1,0,,,4,36,,",questao
103,"OBS.: Situação hipotética: A associação de moradores de determinado bairro de uma capital brasileira decidiu realizar os bailes de carnaval em uma praça pública da cidade. Assertiva: Nessa situação, a referida associação poderá fazer uso da praça pública, E PARA ISSO DEPENDE de autorização, mediante prévio aviso à autoridade competente.","OBS.: Situação hipotética: A associação de moradores de determinado bairro de uma capital brasileira decidiu realizar os bailes de carnaval em uma praça pública da cidade. Assertiva: Nessa situação, a referida associação poderá fazer uso da praça pública, E PARA ISSO DEPENDE de autorização, mediante prévio aviso à autoridade competente.","cf88,1,0,,,4,36,,",questao
105,"OBS.: É plena a liberdade de associação para fins lícitos, VEDADA as de caráter paramilitar.","OBS.: É plena a liberdade de associação para fins lícitos, VEDADA as de caráter paramilitar.","cf88,1,0,,,4,37,,",questao
106,OBS.: VIOLA os princípios constitucionais da liberdade de associação e da liberdade sindical a norma legal que condiciona o recebimento do benefício do seguro-desemprego à filiação do interessado a uma colônia de pescadores de sua região.,OBS.: VIOLA os princípios constitucionais da liberdade de associação e da liberdade sindical a norma legal que condiciona o recebimento do benefício do seguro-desemprego à filiação do interessado a uma colônia de pescadores de sua região.,"cf88,1,0,,,4,37,,",questao
111,OBS.: A atuação das associações na defesa de seus associados em mandado de segurança coletivo independe de autorização.,OBS.: A atuação das associações na defesa de seus associados em mandado de segurança coletivo independe de autorização.,"cf88,1,0,,,4,41,,",questao
112,"OBS.: s associações precisam de autorização especial para propor ACP, E NÃO PARA mandado de segurança coletivo.","OBS.: s associações precisam de autorização especial para propor ACP, E NÃO PARA mandado de segurança coletivo.","cf88,1,0,,,4,41,,",questao
113,OBS.: As associações NÃO possuem legitimidade para deduzir interpelação judicial como medida preparatória de ação penal em defesa da honra de seus associados.,OBS.: As associações NÃO possuem legitimidade para deduzir interpelação judicial como medida preparatória de ação penal em defesa da honra de seus associados.,"cf88,1,0,,,4,41,,",questao
114,"OBS.: A eficácia subjetiva da coisa julgada formada em ação coletiva de rito ordinário, ajuizada por associação civil na defesa de interesses dos seus associados, somente alcançará os seus filiados residentes no âmbito da jurisdição do órgão julgador se estes tiverem a condição de filiado até a data da propositura da demanda.","OBS.: A eficácia subjetiva da coisa julgada formada em ação coletiva de rito ordinário, ajuizada por associação civil na defesa de interesses dos seus associados, somente alcançará os seus filiados residentes no âmbito da jurisdição do órgão julgador se estes tiverem a condição de filiado até a data da propositura da demanda.","cf88,1,0,,,4,41,,",questao
117,"OBS.: As limitações administrativas são determinações de caráter geral por meio das quais o poder público impõe a determinados proprietários obrigações de caráter negativo, BEM COMO DE CARATER positivo, que condicionam a propriedade ao atendimento de sua função social.","OBS.: As limitações administrativas são determinações de caráter geral por meio das quais o poder público impõe a determinados proprietários obrigações de caráter negativo, BEM COMO DE CARATER positivo, que condicionam a propriedade ao atendimento de sua função social.","cf88,1,0,,,4,43,,",questao
130,OBS.: É assegurado o acesso às informações de interesse particular retidas pelos órgãos públicos.,OBS.: É assegurado o acesso às informações de interesse particular retidas pelos órgãos públicos.,"cf88,1,0,,,4,53,,",questao
131,"OBS.: De acordo com o princípio da publicidade, a administração deve divulgar informações de interesse público, sendo o sigilo dos atos administrativos admitido apenas excepcionalmente e se imprescindível à segurança da sociedade e do Estado.","OBS.: De acordo com o princípio da publicidade, a administração deve divulgar informações de interesse público, sendo o sigilo dos atos administrativos admitido apenas excepcionalmente e se imprescindível à segurança da sociedade e do Estado.","cf88,1,0,,,4,53,,",questao
132,"OBS.: MESMO Sendo a participação dos usuários um dos novos postulados do serviço público, a eles NÃO é garantido o direito de acesso amplo aos registros administrativos e às informações sobre atos de governo que envolvam a segurança do Estado.","OBS.: MESMO Sendo a participação dos usuários um dos novos postulados do serviço público, a eles NÃO é garantido o direito de acesso amplo aos registros administrativos e às informações sobre atos de governo que envolvam a segurança do Estado.","cf88,1,0,,,4,53,,",questao
135,OBS.: O direito de petição NÃO SE aplica SOMENTE ao judiciário.,OBS.: O direito de petição NÃO SE aplica SOMENTE ao judiciário.,"cf88,1,0,,,4,54,2,",questao
