,Lei,Titulo,Capitulo,sec,subsec,art,niv2,Texto,endereço,end
28,cf88,1,2,,,11,149,"c) os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que sejam registrados em repartição brasileira competente ou venham a residir na República Federativa do Brasil e optem, em qualquer tempo, depois de atingida a maioridade, pela nacionalidade brasileira; (Redação dada pela Emenda Constitucional nº 54, de 2007)","cf88,1,2,,,11,149,28,",c
29,cf88,1,2,,,11,150,"a) os que, na forma da lei, adquiram a nacionalidade brasileira, exigidas aos originários de países de língua portuguesa apenas residência por um ano ininterrupto e idoneidade moral;","cf88,1,2,,,11,150,29,",a
30,cf88,1,2,,,11,150,"b) os estrangeiros de qualquer nacionalidade, residentes na República Federativa do Brasil há mais de quinze anos ininterruptos e sem condenação penal, desde que requeiram a nacionalidade brasileira. (Redação dada pela Emenda Constitucional de Revisão nº 3, de 1994)","cf88,1,2,,,11,150,30,",b
31,cf88,1,2,,,11,153,I - de Presidente e Vice-Presidente da República;,"cf88,1,2,,,11,153,31,",I
32,cf88,1,2,,,11,153,II - de Presidente da Câmara dos Deputados;,"cf88,1,2,,,11,153,32,",II
33,cf88,1,2,,,11,153,III - de Presidente do Senado Federal;,"cf88,1,2,,,11,153,33,",III
34,cf88,1,2,,,11,153,IV - de Ministro do Supremo Tribunal Federal;,"cf88,1,2,,,11,153,34,",IV
35,cf88,1,2,,,11,153,V - da carreira diplomática;,"cf88,1,2,,,11,153,35,",V
36,cf88,1,2,,,11,153,VI - de oficial das Forças Armadas.,"cf88,1,2,,,11,153,36,",VI
37,cf88,1,2,,,11,153,"VII - de Ministro de Estado da Defesa (Incluído pela Emenda Constitucional nº 23, de 1999)","cf88,1,2,,,11,153,37,",VII
38,cf88,1,2,,,11,154,"I - tiver cancelada sua naturalização, por sentença judicial, em virtude de atividade nociva ao interesse nacional;","cf88,1,2,,,11,154,38,",I
39,cf88,1,2,,,11,154,"II - adquirir outra nacionalidade, salvo nos casos: (Redação dada pela Emenda Constitucional de Revisão nº 3, de 1994)","cf88,1,2,,,11,154,39,",II
40,cf88,1,3,,,13,160,I - obrigatórios para os maiores de dezoito anos;,"cf88,1,3,,,13,160,40,",I
41,cf88,1,3,,,13,160,II - facultativos para:,"cf88,1,3,,,13,160,41,",II
42,cf88,1,3,,,13,162,I - a nacionalidade brasileira;,"cf88,1,3,,,13,162,42,",I
43,cf88,1,3,,,13,162,II - o pleno exercício dos direitos políticos;,"cf88,1,3,,,13,162,43,",II
44,cf88,1,3,,,13,162,III - o alistamento eleitoral;,"cf88,1,3,,,13,162,44,",III
45,cf88,1,3,,,13,162,IV - o domicílio eleitoral na circunscrição;,"cf88,1,3,,,13,162,45,",IV
46,cf88,1,3,,,13,162,V - a filiação partidária; Regulamento,"cf88,1,3,,,13,162,46,",V
47,cf88,1,3,,,13,162,VI - a idade mínima de:,"cf88,1,3,,,13,162,47,",VI
48,cf88,1,3,,,13,167,"I - se contar menos de dez anos de serviço, deverá afastar-se da atividade;","cf88,1,3,,,13,167,48,",I
49,cf88,1,3,,,13,167,"II - se contar mais de dez anos de serviço, será agregado pela autoridade superior e, se eleito, passará automaticamente, no ato da diplomação, para a inatividade.","cf88,1,3,,,13,167,49,",II
50,cf88,1,4,,,16,182,"I - obtiverem, nas eleições para a Câmara dos Deputados, no mínimo, 3% (três por cento) dos votos válidos, distribuídos em pelo menos um terço das unidades da Federação, com um mínimo de 2% (dois por cento) dos votos válidos em cada uma delas; ou     (Incluído pela Emenda Constitucional nº 97, de 2017)","cf88,1,4,,,16,182,50,",I
51,cf88,1,4,,,16,182,"II - tiverem elegido pelo menos quinze Deputados Federais distribuídos em pelo menos um terço das unidades da Federação.    (Incluído pela Emenda Constitucional nº 97, de 2017)","cf88,1,4,,,16,182,51,",II
52,cf88,2,6,,,20,216,"a) os serviços de radiodifusão sonora, e de sons e imagens; (Redação dada pela Emenda Constitucional nº 8, de 15/08/95:)","cf88,2,6,,,20,216,52,",a
53,cf88,2,6,,,20,216,"b) os serviços e instalações de energia elétrica e o aproveitamento energético dos cursos de água, em articulação com os Estados onde se situam os potenciais hidroenergéticos;","cf88,2,6,,,20,216,53,",b
54,cf88,2,6,,,20,216,"c) a navegação aérea, aeroespacial e a infra-estrutura aeroportuária;","cf88,2,6,,,20,216,54,",c
55,cf88,2,6,,,20,216,"d) os serviços de transporte ferroviário e aquaviário entre portos brasileiros e fronteiras nacionais, ou que transponham os limites de Estado ou Território;","cf88,2,6,,,20,216,55,",d
56,cf88,2,6,,,20,216,e) os serviços de transporte rodoviário interestadual e internacional de passageiros;,"cf88,2,6,,,20,216,56,",e
57,cf88,2,6,,,20,216,"f) os portos marítimos, fluviais e lacustres;","cf88,2,6,,,20,216,57,",f
58,cf88,2,6,,,20,227,a) toda atividade nuclear em território nacional somente será admitida para fins pacíficos e mediante aprovação do Congresso Nacional;,"cf88,2,6,,,20,227,58,",a
59,cf88,2,6,,,20,227,"b) sob regime de permissão, são autorizadas a comercialização e a utilização de radioisótopos para a pesquisa e usos médicos, agrícolas e industriais; (Redação dada pela Emenda Constitucional nº 49, de 2006)","cf88,2,6,,,20,227,59,",b
60,cf88,2,6,,,20,227,"c) sob regime de permissão, são autorizadas a produção, comercialização e utilização de radioisótopos de meia-vida igual ou inferior a duas horas; (Redação dada pela Emenda Constitucional nº 49, de 2006)","cf88,2,6,,,20,227,60,",c
61,cf88,2,6,,,20,227,"d) a responsabilidade civil por danos nucleares independe da existência de culpa; (Redação dada pela Emenda Constitucional nº 49, de 2006)","cf88,2,6,,,20,227,61,",d
62,cf88,2,8,,,28,309,"a) 9 (nove) Vereadores, nos Municípios de até 15.000 (quinze mil) habitantes; (Redação dada pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,62,",a
63,cf88,2,8,,,28,309,"b) 11 (onze) Vereadores, nos Municípios de mais de 15.000 (quinze mil) habitantes e de até 30.000 (trinta mil) habitantes; (Redação dada pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,63,",b
64,cf88,2,8,,,28,309,"c) 13 (treze) Vereadores, nos Municípios com mais de 30.000 (trinta mil) habitantes e de até 50.000 (cinquenta mil) habitantes; (Redação dada pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,64,",c
65,cf88,2,8,,,28,309,"d) 15 (quinze) Vereadores, nos Municípios de mais de 50.000 (cinquenta mil) habitantes e de até 80.000 (oitenta mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,65,",d
66,cf88,2,8,,,28,309,"e) 17 (dezessete) Vereadores, nos Municípios de mais de 80.000 (oitenta mil) habitantes e de até 120.000 (cento e vinte mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,66,",e
67,cf88,2,8,,,28,309,"f) 19 (dezenove) Vereadores, nos Municípios de mais de 120.000 (cento e vinte mil) habitantes e de até 160.000 (cento sessenta mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,67,",f
68,cf88,2,8,,,28,309,"g) 21 (vinte e um) Vereadores, nos Municípios de mais de 160.000 (cento e sessenta mil) habitantes e de até 300.000 (trezentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,68,",g
69,cf88,2,8,,,28,309,"h) 23 (vinte e três) Vereadores, nos Municípios de mais de 300.000 (trezentos mil) habitantes e de até 450.000 (quatrocentos e cinquenta mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,69,",h
70,cf88,2,8,,,28,309,"i) 25 (vinte e cinco) Vereadores, nos Municípios de mais de 450.000 (quatrocentos e cinquenta mil) habitantes e de até 600.000 (seiscentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,70,",i
71,cf88,2,8,,,28,309,"j) 27 (vinte e sete) Vereadores, nos Municípios de mais de 600.000 (seiscentos mil) habitantes e de até 750.000 (setecentos cinquenta mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,71,",j
72,cf88,2,8,,,28,309,"k) 29 (vinte e nove) Vereadores, nos Municípios de mais de 750.000 (setecentos e cinquenta mil) habitantes e de até 900.000 (novecentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,72,",k
73,cf88,2,8,,,28,309,"l) 31 (trinta e um) Vereadores, nos Municípios de mais de 900.000 (novecentos mil) habitantes e de até 1.050.000 (um milhão e cinquenta mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,73,",l
74,cf88,2,8,,,28,309,"m) 33 (trinta e três) Vereadores, nos Municípios de mais de 1.050.000 (um milhão e cinquenta mil) habitantes e de até 1.200.000 (um milhão e duzentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,74,",m
75,cf88,2,8,,,28,309,"n) 35 (trinta e cinco) Vereadores, nos Municípios de mais de 1.200.000 (um milhão e duzentos mil) habitantes e de até 1.350.000 (um milhão e trezentos e cinquenta mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,75,",n
76,cf88,2,8,,,28,309,"o) 37 (trinta e sete) Vereadores, nos Municípios de 1.350.000 (um milhão e trezentos e cinquenta mil) habitantes e de até 1.500.000 (um milhão e quinhentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,76,",o
77,cf88,2,8,,,28,309,"p) 39 (trinta e nove) Vereadores, nos Municípios de mais de 1.500.000 (um milhão e quinhentos mil) habitantes e de até 1.800.000 (um milhão e oitocentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,77,",p
78,cf88,2,8,,,28,309,"q) 41 (quarenta e um) Vereadores, nos Municípios de mais de 1.800.000 (um milhão e oitocentos mil) habitantes e de até 2.400.000 (dois milhões e quatrocentos mil) habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,78,",q
79,cf88,2,8,,,28,309,"r) 43 (quarenta e três) Vereadores, nos Municípios de mais de 2.400.000 (dois milhões e quatrocentos mil) habitantes e de até 3.000.000 (três milhões) de habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,79,",r
80,cf88,2,8,,,28,309,"s) 45 (quarenta e cinco) Vereadores, nos Municípios de mais de 3.000.000 (três milhões) de habitantes e de até 4.000.000 (quatro milhões) de habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,80,",s
81,cf88,2,8,,,28,309,"t) 47 (quarenta e sete) Vereadores, nos Municípios de mais de 4.000.000 (quatro milhões) de habitantes e de até 5.000.000 (cinco milhões) de habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,81,",t
82,cf88,2,8,,,28,309,"u) 49 (quarenta e nove) Vereadores, nos Municípios de mais de 5.000.000 (cinco milhões) de habitantes e de até 6.000.000 (seis milhões) de habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,82,",u
83,cf88,2,8,,,28,309,"v) 51 (cinquenta e um) Vereadores, nos Municípios de mais de 6.000.000 (seis milhões) de habitantes e de até 7.000.000 (sete milhões) de habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,83,",v
84,cf88,2,8,,,28,309,"w) 53 (cinquenta e três) Vereadores, nos Municípios de mais de 7.000.000 (sete milhões) de habitantes e de até 8.000.000 (oito milhões) de habitantes; e  (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,84,",w
85,cf88,2,8,,,28,309,"x) 55 (cinquenta e cinco) Vereadores, nos Municípios de mais de 8.000.000 (oito milhões) de habitantes; (Incluída pela Emenda Constitucional nº 58, de 2009)","cf88,2,8,,,28,309,85,",x
86,cf88,2,8,,,28,311,"a) em Municípios de até dez mil habitantes, o subsídio máximo dos Vereadores corresponderá a vinte por cento do subsídio dos Deputados Estaduais; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,28,311,86,",a
87,cf88,2,8,,,28,311,"b) em Municípios de dez mil e um a cinqüenta mil habitantes, o subsídio máximo dos Vereadores corresponderá a trinta por cento do subsídio dos Deputados Estaduais; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,28,311,87,",b
88,cf88,2,8,,,28,311,"c) em Municípios de cinqüenta mil e um a cem mil habitantes, o subsídio máximo dos Vereadores corresponderá a quarenta por cento do subsídio dos Deputados Estaduais; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,28,311,88,",c
89,cf88,2,8,,,28,311,"d) em Municípios de cem mil e um a trezentos mil habitantes, o subsídio máximo dos Vereadores corresponderá a cinqüenta por cento do subsídio dos Deputados Estaduais; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,28,311,89,",d
90,cf88,2,8,,,28,311,"e) em Municípios de trezentos mil e um a quinhentos mil habitantes, o subsídio máximo dos Vereadores corresponderá a sessenta por cento do subsídio dos Deputados Estaduais; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,28,311,90,",e
91,cf88,2,8,,,28,311,"f) em Municípios de mais de quinhentos mil habitantes, o subsídio máximo dos Vereadores corresponderá a setenta e cinco por cento do subsídio dos Deputados Estaduais; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,28,311,91,",f
92,cf88,2,8,,,29,327,"I - efetuar repasse que supere os limites definidos neste artigo; (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,29,327,92,",I
93,cf88,2,8,,,29,327,"II - não enviar o repasse até o dia vinte de cada mês; ou (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,29,327,93,",II
94,cf88,2,8,,,29,327,"III - enviá-lo a menor em relação à proporção fixada na Lei Orçamentária. (Incluído pela Emenda Constitucional nº 25, de 2000)","cf88,2,8,,,29,327,94,",III
95,cf88,2,10,,,34,353,"a) suspender o pagamento da dívida fundada por mais de dois anos consecutivos, salvo motivo de força maior;","cf88,2,10,,,34,353,95,",a
96,cf88,2,10,,,34,353,"b) deixar de entregar aos Municípios receitas tributárias fixadas nesta Constituição, dentro dos prazos estabelecidos em lei;","cf88,2,10,,,34,353,96,",b
97,cf88,2,10,,,34,355,"a) forma republicana, sistema representativo e regime democrático;","cf88,2,10,,,34,355,97,",a
98,cf88,2,10,,,34,355,b) direitos da pessoa humana;,"cf88,2,10,,,34,355,98,",b
99,cf88,2,10,,,34,355,c) autonomia municipal;,"cf88,2,10,,,34,355,99,",c
100,cf88,2,10,,,34,355,"d) prestação de contas da administração pública, direta e indireta.","cf88,2,10,,,34,355,100,",d
101,cf88,2,10,,,34,355,"e) aplicação do mínimo exigido da receita resultante de impostos estaduais, compreendida a proveniente de transferências, na manutenção e desenvolvimento do ensino e nas ações e serviços públicos de saúde. (Redação dada pela Emenda Constitucional nº 29, de 2000)","cf88,2,10,,,34,355,101,",e
102,cf88,2,11,2,,37,383,"a) a de dois cargos de professor; (Redação dada pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,2,,37,383,102,",a
103,cf88,2,11,2,,37,383,"b) a de um cargo de professor com outro técnico ou científico; (Redação dada pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,2,,37,383,103,",b
104,cf88,2,11,2,,37,383,"c) a de dois cargos ou empregos privativos de profissionais de saúde, com profissões regulamentadas; (Redação dada pela Emenda Constitucional nº 34, de 2001)","cf88,2,11,2,,37,383,104,",c
105,cf88,2,11,2,,37,392,"I - as reclamações relativas à prestação dos serviços públicos em geral, asseguradas a manutenção de serviços de atendimento ao usuário e a avaliação periódica, externa e interna, da qualidade dos serviços; (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,2,,37,392,105,",I
106,cf88,2,11,2,,37,392,"II - o acesso dos usuários a registros administrativos e a informações sobre atos de governo, observado o disposto no art. 5º, X e XXXIII;  (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,2,,37,392,106,",II
107,cf88,2,11,2,,37,392,"III - a disciplina da representação contra o exercício negligente ou abusivo de cargo, emprego ou função na administração pública. (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,2,,37,392,107,",III
108,cf88,2,11,2,,37,397,I - o prazo de duração do contrato;,"cf88,2,11,2,,37,397,108,",I
109,cf88,2,11,2,,37,397,"II - os controles e critérios de avaliação de desempenho, direitos, obrigações e responsabilidade dos dirigentes;","cf88,2,11,2,,37,397,109,",II
110,cf88,2,11,2,,37,397,"III - a remuneração do pessoal.""","cf88,2,11,2,,37,397,110,",III
111,cf88,2,11,3,,40,411,"I - a natureza, o grau de responsabilidade e a complexidade dos cargos componentes de cada carreira; (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,3,,40,411,111,",I
112,cf88,2,11,3,,40,411,"II - os requisitos para a investidura; (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,3,,40,411,112,",II
113,cf88,2,11,3,,40,411,"III - as peculiaridades dos cargos. (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,3,,40,411,113,",III
114,cf88,2,11,3,,41,420,"I - por incapacidade permanente para o trabalho, no cargo em que estiver investido, quando insuscetível de readaptação, hipótese em que será obrigatória a realização de avaliações periódicas para verificação da continuidade das condições que ensejaram a concessão da aposentadoria, na forma de lei do respectivo ente federativo;           (Redação dada pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,420,114,",I
115,cf88,2,11,3,,41,420,"II - compulsoriamente, com proventos proporcionais ao tempo de contribuição, aos 70 (setenta) anos de idade, ou aos 75 (setenta e cinco) anos de idade, na forma de lei complementar;       (Redação dada pela Emenda Constitucional nº 88, de 2015)","cf88,2,11,3,,41,420,115,",II
116,cf88,2,11,3,,41,420,"III - no âmbito da União, aos 62 (sessenta e dois) anos de idade, se mulher, e aos 65 (sessenta e cinco) anos de idade, se homem, e, no âmbito dos Estados, do Distrito Federal e dos Municípios, na idade mínima estabelecida mediante emenda às respectivas Constituições e Leis Orgânicas, observados o tempo de contribuição e os demais requisitos estabelecidos em lei complementar do respectivo ente federativo.           (Redação dada pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,420,116,",III
117,cf88,2,11,3,,41,444,"I - requisitos para sua extinção e consequente migração para o Regime Geral de Previdência Social;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,117,",I
118,cf88,2,11,3,,41,444,"II - modelo de arrecadação, de aplicação e de utilização dos recursos;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,118,",II
119,cf88,2,11,3,,41,444,"III - fiscalização pela União e controle externo e social;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,119,",III
120,cf88,2,11,3,,41,444,"IV - definição de equilíbrio financeiro e atuarial;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,120,",IV
121,cf88,2,11,3,,41,444,"V - condições para instituição do fundo com finalidade previdenciária de que trata o art. 249 e para vinculação a ele dos recursos provenientes de contribuições e dos bens, direitos e ativos de qualquer natureza;    (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,121,",V
122,cf88,2,11,3,,41,444,"VI - mecanismos de equacionamento do deficit atuarial;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,122,",VI
123,cf88,2,11,3,,41,444,"VII - estruturação do órgão ou entidade gestora do regime, observados os princípios relacionados com governança, controle interno e transparência;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,123,",VII
124,cf88,2,11,3,,41,444,"VIII - condições e hipóteses para responsabilização daqueles que desempenhem atribuições relacionadas, direta ou indiretamente, com a gestão do regime;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,124,",VIII
125,cf88,2,11,3,,41,444,"IX - condições para adesão a consórcio público;            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,125,",IX
126,cf88,2,11,3,,41,444,"X - parâmetros para apuração da base de cálculo e definição de alíquota de contribuições ordinárias e extraordinárias.            (Incluído pela Emenda Constitucional nº 103, de 2019)","cf88,2,11,3,,41,444,126,",X
127,cf88,2,11,3,,42,445,"I - em virtude de sentença judicial transitada em julgado; (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,3,,42,445,127,",I
128,cf88,2,11,3,,42,445,"II - mediante processo administrativo em que lhe seja assegurada ampla defesa; (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,3,,42,445,128,",II
129,cf88,2,11,3,,42,445,"III - mediante procedimento de avaliação periódica de desempenho, na forma de lei complementar, assegurada ampla defesa. (Incluído pela Emenda Constitucional nº 19, de 1998)","cf88,2,11,3,,42,445,129,",III
130,cf88,2,11,5,,44,452,I - as condições para integração de regiões em desenvolvimento;,"cf88,2,11,5,,44,452,130,",I
131,cf88,2,11,5,,44,452,"II - a composição dos organismos regionais que executarão, na forma da lei, os planos regionais, integrantes dos planos nacionais de desenvolvimento econômico e social, aprovados juntamente com estes.","cf88,2,11,5,,44,452,131,",II
132,cf88,2,11,5,,44,453,"I - igualdade de tarifas, fretes, seguros e outros itens de custos e preços de responsabilidade do Poder Público;","cf88,2,11,5,,44,453,132,",I
133,cf88,2,11,5,,44,453,II - juros favorecidos para financiamento de atividades prioritárias;,"cf88,2,11,5,,44,453,133,",II
134,cf88,2,11,5,,44,453,"III - isenções, reduções ou diferimento temporário de tributos federais devidos por pessoas físicas ou jurídicas;","cf88,2,11,5,,44,453,134,",III
135,cf88,2,11,5,,44,453,"IV - prioridade para o aproveitamento econômico e social dos rios e das massas de água represadas ou represáveis nas regiões de baixa renda, sujeitas a secas periódicas.","cf88,2,11,5,,44,453,135,",IV
136,cf88,3,12,9,,53,503,"a) Magistrados, nos casos estabelecidos nesta Constituição;","cf88,3,12,9,,53,503,136,",a
137,cf88,3,12,9,,53,503,b) Ministros do Tribunal de Contas da União indicados pelo Presidente da República;,"cf88,3,12,9,,53,503,137,",b
138,cf88,3,12,9,,53,503,c) Governador de Território;,"cf88,3,12,9,,53,503,138,",c
139,cf88,3,12,9,,53,503,d) Presidente e diretores do banco central;,"cf88,3,12,9,,53,503,139,",d
140,cf88,3,12,9,,53,503,e) Procurador-Geral da República;,"cf88,3,12,9,,53,503,140,",e
141,cf88,3,12,9,,53,503,f) titulares de outros cargos que a lei determinar;,"cf88,3,12,9,,53,503,141,",f
142,cf88,3,12,10,,55,525,"a) firmar ou manter contrato com pessoa jurídica de direito público, autarquia, empresa pública, sociedade de economia mista ou empresa concessionária de serviço público, salvo quando o contrato obedecer a cláusulas uniformes;","cf88,3,12,10,,55,525,142,",a
143,cf88,3,12,10,,55,525,"b) aceitar ou exercer cargo, função ou emprego remunerado, inclusive os de que sejam demissíveis ""ad nutum"", nas entidades constantes da alínea anterior;","cf88,3,12,10,,55,525,143,",b
144,cf88,3,12,10,,55,526,"a) ser proprietários, controladores ou diretores de empresa que goze de favor decorrente de contrato com pessoa jurídica de direito público, ou nela exercer função remunerada;","cf88,3,12,10,,55,526,144,",a
145,cf88,3,12,10,,55,526,"b) ocupar cargo ou função de que sejam demissíveis ""ad nutum"", nas entidades referidas no inciso I, ""a"";","cf88,3,12,10,,55,526,145,",b
146,cf88,3,12,10,,55,526,"c) patrocinar causa em que seja interessada qualquer das entidades a que se refere o inciso I, ""a"";","cf88,3,12,10,,55,526,146,",c
147,cf88,3,12,10,,55,526,d) ser titulares de mais de um cargo ou mandato público eletivo.,"cf88,3,12,10,,55,526,147,",d
148,cf88,3,12,11,,58,544,I - inaugurar a sessão legislativa;,"cf88,3,12,11,,58,544,148,",I
