,Unnamed: 0,original,Texto,endereço,tipo,resultado,pre
10,34,II - garantir o desenvolvimento nacional;,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:II - garantir o desenvolvimento nacional;,"cf88,0,,,,2,7,,",art-inciso,10,art. 3º constituem objetivos fundamentais da república federativa do brasil: garantir o desenvolvimento nacional;
11,35,III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;,"cf88,0,,,,2,8,,",art-inciso,11,art. 3º constituem objetivos fundamentais da república federativa do brasil: erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;
12,36,"IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.","Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.","cf88,0,,,,2,9,,",art-inciso,12,"art. 3º constituem objetivos fundamentais da república federativa do brasil: promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação."
13,37,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:,"cf88,0,,,,3,,,",art,13,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios:
14,38,I - independência nacional;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:I - independência nacional;,"cf88,0,,,,3,10,,",art-inciso,14,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: independência nacional;
15,39,II - prevalência dos direitos humanos;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:II - prevalência dos direitos humanos;,"cf88,0,,,,3,11,,",art-inciso,15,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: prevalência dos direitos humanos;
16,40,III - autodeterminação dos povos;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:III - autodeterminação dos povos;,"cf88,0,,,,3,12,,",art-inciso,16,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: autodeterminação dos povos;
17,41,IV - não-intervenção;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:IV - não-intervenção;,"cf88,0,,,,3,13,,",art-inciso,17,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: nãointervenção;
18,42,V - igualdade entre os Estados;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:V - igualdade entre os Estados;,"cf88,0,,,,3,14,,",art-inciso,18,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: igualdade entre os estados;
19,43,VI - defesa da paz;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:VI - defesa da paz;,"cf88,0,,,,3,15,,",art-inciso,19,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: defesa da paz;
20,44,VII - solução pacífica dos conflitos;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:VII - solução pacífica dos conflitos;,"cf88,0,,,,3,16,,",art-inciso,20,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: solução pacífica dos conflitos;
21,45,VIII - repúdio ao terrorismo e ao racismo;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:VIII - repúdio ao terrorismo e ao racismo;,"cf88,0,,,,3,17,,",art-inciso,21,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: repúdio ao terrorismo e ao racismo;
22,47,IX - cooperação entre os povos para o progresso da humanidade;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:IX - cooperação entre os povos para o progresso da humanidade;,"cf88,0,,,,3,18,,",art-inciso,22,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: cooperação entre os povos para o progresso da humanidade;
23,48,X - concessão de asilo político.,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:X - concessão de asilo político.,"cf88,0,,,,3,19,,",art-inciso,23,art. 4º a república federativa do brasil regese nas suas relações internacionais pelos seguintes princípios: concessão de asilo político.
24,50,"Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.","Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.","cf88,0,,,,3,20,,",par,24,". a república federativa do brasil buscará a integração econômica, política, social e cultural dos povos da américa latina, visando à formação de uma comunidade latinoamericana de nações."
25,51,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:","cf88,1,0,,,4,,,",art,25,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:"
26,64,"I - homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:I - homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;","cf88,1,0,,,4,21,,",art-inciso,26,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: homens e mulheres são iguais em direitos e obrigações, nos termos desta constituição;"
27,65,II - ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:II - ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;","cf88,1,0,,,4,22,,",art-inciso,27,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;"
28,67,III - ninguém será submetido a tortura nem a tratamento desumano ou degradante;,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:III - ninguém será submetido a tortura nem a tratamento desumano ou degradante;","cf88,1,0,,,4,23,,",art-inciso,28,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: ninguém será submetido a tortura nem a tratamento desumano ou degradante;"
29,68,"IV - é livre a manifestação do pensamento, sendo vedado o anonimato;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:IV - é livre a manifestação do pensamento, sendo vedado o anonimato;","cf88,1,0,,,4,24,,",art-inciso,29,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é livre a manifestação do pensamento, sendo vedado o anonimato;"
30,70,"V - é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:V - é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;","cf88,1,0,,,4,25,,",art-inciso,30,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;"
31,71,"VI - é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:VI - é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;","cf88,1,0,,,4,26,,",art-inciso,31,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;"
32,72,"VII - é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:VII - é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;","cf88,1,0,,,4,27,,",art-inciso,32,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;"
33,73,"VIII - ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:VIII - ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;","cf88,1,0,,,4,28,,",art-inciso,33,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximirse de obrigação legal a todos imposta e recusarse a cumprir prestação alternativa, fixada em lei;"
34,75,"IX - é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:IX - é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;","cf88,1,0,,,4,29,,",art-inciso,34,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;"
35,77,"X - são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:X - são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;","cf88,1,0,,,4,30,,",art-inciso,35,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;"
36,79,"XI - a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XI - a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;","cf88,1,0,,,4,31,,",art-inciso,36,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;"
37,85,"XII - é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XII - é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;","cf88,1,0,,,4,32,,",art-inciso,37,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;"
38,95,"XIII - é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XIII - é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;","cf88,1,0,,,4,33,,",art-inciso,38,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;"
39,97,"XIV - é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XIV - é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;","cf88,1,0,,,4,34,,",art-inciso,39,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;"
40,98,"XV - é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XV - é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;","cf88,1,0,,,4,35,,",art-inciso,40,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;"
41,99,"XVI - todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XVI - todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;","cf88,1,0,,,4,36,,",art-inciso,41,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: todos podem reunirse pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;"
42,104,"XVII - é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XVII - é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;","cf88,1,0,,,4,37,,",art-inciso,42,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;"
43,107,"XVIII - a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XVIII - a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;","cf88,1,0,,,4,38,,",art-inciso,43,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;"
44,108,"XIX - as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XIX - as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;","cf88,1,0,,,4,39,,",art-inciso,44,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindose, no primeiro caso, o trânsito em julgado;"
45,109,XX - ninguém poderá ser compelido a associar-se ou a permanecer associado;,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XX - ninguém poderá ser compelido a associar-se ou a permanecer associado;","cf88,1,0,,,4,40,,",art-inciso,45,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: ninguém poderá ser compelido a associarse ou a permanecer associado;"
46,110,"XXI - as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XXI - as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;","cf88,1,0,,,4,41,,",art-inciso,46,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;"
47,115,XXII - é garantido o direito de propriedade;,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XXII - é garantido o direito de propriedade;","cf88,1,0,,,4,42,,",art-inciso,47,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: é garantido o direito de propriedade;"
48,116,XXIII - a propriedade atenderá a sua função social;,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:XXIII - a propriedade atenderá a sua função social;","cf88,1,0,,,4,43,,",art-inciso,48,"art. 5º todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes: a propriedade atenderá a sua função social;"
