,Texto,pre
42,"  No âmbito de suas relações internacionais, a República Federativa do Brasil rege-se pelos princípios de prevalência dos direitos humanos, autodeterminação dos povos e solução pacífica dos conflitos, entre outros.","  no âmbito de suas relações internacionais, a república federativa do brasil regese pelos princípios de prevalência dos direitos humanos, autodeterminação dos povos e solução pacífica dos conflitos, entre outros."
43,"  Garantir o desenvolvimento nacional e construir uma sociedade livre, justa e solidária são objetivos fundamentais da República Federativa do Brasil.","  garantir o desenvolvimento nacional e construir uma sociedade livre, justa e solidária são objetivos fundamentais da república federativa do brasil."
44,"  Diferentemente das constituições analíticas, as constituições sintéticas são mais enxutas, veiculadoras apenas dos princípios fundamentais e estruturais do Estado.","  diferentemente das constituições analíticas, as constituições sintéticas são mais enxutas, veiculadoras apenas dos princípios fundamentais e estruturais do estado."
45,"  São classificadas como consuetudinárias as constituições formadas por um conjunto de regras sistematizadas e organizadas em um único documento, estabelecendo as normas fundamentais de um Estado.","  são classificadas como consuetudinárias as constituições formadas por um conjunto de regras sistematizadas e organizadas em um único documento, estabelecendo as normas fundamentais de um estado."
46,  Constituições flexíveis são aquelas que não possuem um processo legislativo de alteração mais dificultoso que o processo legislativo de alteração das normas infraconstitucionais.,  constituições flexíveis são aquelas que não possuem um processo legislativo de alteração mais dificultoso que o processo legislativo de alteração das normas infraconstitucionais.
47,"  Em uma classificação quanto à sua origem, define-se como outorgada a constituição fruto de uma Assembleia Nacional Constituinte, eleita diretamente pelo povo, para, em nome dele, atuar.","  em uma classificação quanto à sua origem, definese como outorgada a constituição fruto de uma assembleia nacional constituinte, eleita diretamente pelo povo, para, em nome dele, atuar."
48,"  Sob o critério material, para se definir se uma norma tem caráter constitucional, é necessário avaliar seu conteúdo, pouco importando a forma por meio da qual foi essa norma introduzida no ordenamento jurídico.","  sob o critério material, para se definir se uma norma tem caráter constitucional, é necessário avaliar seu conteúdo, pouco importando a forma por meio da qual foi essa norma introduzida no ordenamento jurídico."
49," Entre as condições previstas constitucionalmente para que um cidadão brasileiro seja elegível ao cargo de deputado federal, estão a idade mínima de dezoito anos e a necessidade de filiação partidária."," entre as condições previstas constitucionalmente para que um cidadão brasileiro seja elegível ao cargo de deputado federal, estão a idade mínima de dezoito anos e a necessidade de filiação partidária."
50," São considerados como direitos fundamentais de segunda geração aqueles ligados à igualdade material, compreendendo os direitos sociais, econômicos e culturais."," são considerados como direitos fundamentais de segunda geração aqueles ligados à igualdade material, compreendendo os direitos sociais, econômicos e culturais."
51," A obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal, depende do pagamento da respectiva taxa de serviço, salvo se comprovada a situação de pobreza do requerente."," a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal, depende do pagamento da respectiva taxa de serviço, salvo se comprovada a situação de pobreza do requerente."
52," Um cidadão brasileiro não pode invocar motivos religiosos para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei."," um cidadão brasileiro não pode invocar motivos religiosos para eximirse de obrigação legal a todos imposta e recusarse a cumprir prestação alternativa, fixada em lei."
53,"  Integram o Poder Judiciário os juízes de direito, os tribunais regionais, os tribunais superiores e o Ministério Público.","  integram o poder judiciário os juízes de direito, os tribunais regionais, os tribunais superiores e o ministério público."
54,"  A tripartição de Poderes estabelecida pela Constituição Federal tem caráter absoluto, de forma que a harmonia constitucional dos Poderes da União depende da atuação exclusiva de cada Poder em suas funções típicas.","  a tripartição de poderes estabelecida pela constituição federal tem caráter absoluto, de forma que a harmonia constitucional dos poderes da união depende da atuação exclusiva de cada poder em suas funções típicas."
55,"  A função típica do Poder Judiciário é a função administrativa, que consiste na defesa concreta dos interesses públicos, mediante atuação restrita aos limites da lei.","  a função típica do poder judiciário é a função administrativa, que consiste na defesa concreta dos interesses públicos, mediante atuação restrita aos limites da lei."
56,"  Entre as funções atípicas desempenhadas pelo Poder Executivo, estão as destinadas a regulamentar o funcionamento de seus serviços, mediante a expedição de decretos e portarias.","  entre as funções atípicas desempenhadas pelo poder executivo, estão as destinadas a regulamentar o funcionamento de seus serviços, mediante a expedição de decretos e portarias."
57,"  A Constituição Federal de 1988 rege que são Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.","  a constituição federal de 1988 rege que são poderes da união, independentes e harmônicos entre si, o legislativo, o executivo e o judiciário."
58,"  São estáveis após dois anos de efetivo exercício os servidores nomeados para cargo de provimento efetivo em virtude de concurso público, desde que aprovados em avaliação especial de desempenho por comissão instituída para essa finalidade.","  são estáveis após dois anos de efetivo exercício os servidores nomeados para cargo de provimento efetivo em virtude de concurso público, desde que aprovados em avaliação especial de desempenho por comissão instituída para essa finalidade."
59,"  As pessoas jurídicas de direito público e as de direito privado prestadoras de serviços públicos responderão pelos danos que seus agentes, nessa qualidade, causarem a terceiros, assegurado o direito de regresso contra o responsável apenas nos casos de dolo.","  as pessoas jurídicas de direito público e as de direito privado prestadoras de serviços públicos responderão pelos danos que seus agentes, nessa qualidade, causarem a terceiros, assegurado o direito de regresso contra o responsável apenas nos casos de dolo."
60,"  A investidura em cargo ou emprego público depende de aprovação prévia em concurso público de provas ou de provas e títulos, de acordo com a natureza e a complexidade do cargo ou emprego,na forma prevista em lei, ressalvadas as nomeações para cargo em comissão declarado em lei de livre nomeação e exoneração.","  a investidura em cargo ou emprego público depende de aprovação prévia em concurso público de provas ou de provas e títulos, de acordo com a natureza e a complexidade do cargo ou emprego,na forma prevista em lei, ressalvadas as nomeações para cargo em comissão declarado em lei de livre nomeação e exoneração."
61,"  O prazo de validade do concurso público será de até dois anos, prorrogável uma vez por igual período.","  o prazo de validade do concurso público será de até dois anos, prorrogável uma vez por igual período."
62,"  Cargos, empregos e funções públicas são acessíveis aos brasileiros que preencham os requisitos estabelecidos em lei, mas não aos estrangeiros.","  cargos, empregos e funções públicas são acessíveis aos brasileiros que preencham os requisitos estabelecidos em lei, mas não aos estrangeiros."
63,  Uma pessoa poderá pleitear indenização por dano material ou moral quando violada em sua intimidade ou honra.,  uma pessoa poderá pleitear indenização por dano material ou moral quando violada em sua intimidade ou honra.
64,"  No Brasil, não são admitidas penas perpétuas, penas de trabalhos forçados, penas cruéis ou penas de morte em quaisquer hipóteses.","  no brasil, não são admitidas penas perpétuas, penas de trabalhos forçados, penas cruéis ou penas de morte em quaisquer hipóteses."
65,"  A lei penal poderá retroagir, desde que para prejudicar o réu.","  a lei penal poderá retroagir, desde que para prejudicar o réu."
66,  Uma pessoa pode ser privada de direitos por motivo de crença religiosa quando a invocar para se eximir de obrigação legal a todos imposta e se recusar a cumprir prestação alternativa fixada em lei.,  uma pessoa pode ser privada de direitos por motivo de crença religiosa quando a invocar para se eximir de obrigação legal a todos imposta e se recusar a cumprir prestação alternativa fixada em lei.
67,"  Toda e qualquer pessoa é livre para manifestar seu pensamento, devendo fazê‐lo, inclusive, de forma anônima, para resguardar sua privacidade.","  toda e qualquer pessoa é livre para manifestar seu pensamento, devendo fazê‐lo, inclusive, de forma anônima, para resguardar sua privacidade."
68,"  Ao assegurar a concessão de asilo político, a Constituição Federal visa proteger indivíduos de outras nacionalidades contra perseguições, por parte de seu país de origem, motivadas por razões de natureza política.","  ao assegurar a concessão de asilo político, a constituição federal visa proteger indivíduos de outras nacionalidades contra perseguições, por parte de seu país de origem, motivadas por razões de natureza política."
69,"  O princípio da intervenção, pelo qual o Brasil se rege em suas relações internacionais, impõe ao Estado brasileiro o dever de intervir, direta ou indiretamente, em assuntos internos e externos de outros países.","  o princípio da intervenção, pelo qual o brasil se rege em suas relações internacionais, impõe ao estado brasileiro o dever de intervir, direta ou indiretamente, em assuntos internos e externos de outros países."
70,"  Entre os objetivos fundamentais da República Federativa do Brasil, estão a erradicação da pobreza e a construção de uma sociedade livre, justa e solidária.","  entre os objetivos fundamentais da república federativa do brasil, estão a erradicação da pobreza e a construção de uma sociedade livre, justa e solidária."
71,"  A repartição equilibrada dos Poderes entre os diferentes órgãos, de modo que nenhum deles possa ultrapassar os limites estabelecidos pela Constituição sem ser contido pelos demais, consagra o célebre sistema de freios e contrapesos.","  a repartição equilibrada dos poderes entre os diferentes órgãos, de modo que nenhum deles possa ultrapassar os limites estabelecidos pela constituição sem ser contido pelos demais, consagra o célebre sistema de freios e contrapesos."
72,"  Ao estabelecer que a República Federativa do Brasil é formada pela união indissolúvel dos estados, do Distrito Federal e dos municípios, a Constituição garante aos entes que compõem a federação brasileira o direito de secessão.","  ao estabelecer que a república federativa do brasil é formada pela união indissolúvel dos estados, do distrito federal e dos municípios, a constituição garante aos entes que compõem a federação brasileira o direito de secessão."
73," No Brasil, as funções de chefe de Estado e chefe de governo são desempenhadas pela mesma pessoa: quando o presidente da República nomeia ministro de Estado, exerce função de chefe de Estado, e, quando mantém relações com Estado estrangeiro, exerce função de chefe de governo."," no brasil, as funções de chefe de estado e chefe de governo são desempenhadas pela mesma pessoa: quando o presidente da república nomeia ministro de estado, exerce função de chefe de estado, e, quando mantém relações com estado estrangeiro, exerce função de chefe de governo."
74,"  Em razão da condenação criminal transitada em julgado, os direitos políticos do apenado são cassados.","  em razão da condenação criminal transitada em julgado, os direitos políticos do apenado são cassados."
75," A ação do agente penitenciário de iniciar procedimento de apuração foi correta, uma vez que competem às polícias penais a segurança dos estabelecimentos penais e a apuração de infrações penais ocorridas nesses estabelecimentos."," a ação do agente penitenciário de iniciar procedimento de apuração foi correta, uma vez que competem às polícias penais a segurança dos estabelecimentos penais e a apuração de infrações penais ocorridas nesses estabelecimentos."
76," A concessão de asilo político é um dos princípios consagrados na Constituição Federal de 1988, constitui ato discricionário do Estado e é outorgado como instrumento de proteção à pessoa, mas não será concedido a quem tenha cometido crime contra a humanidade."," a concessão de asilo político é um dos princípios consagrados na constituição federal de 1988, constitui ato discricionário do estado e é outorgado como instrumento de proteção à pessoa, mas não será concedido a quem tenha cometido crime contra a humanidade."
77, Nosso sistema jurídico-constitucional admite a aquisição de nacionalidade brasileira como efeito direto e imediato resultante do casamento civil., nosso sistema jurídicoconstitucional admite a aquisição de nacionalidade brasileira como efeito direto e imediato resultante do casamento civil.
78," A Constituição pode ser compreendida como um corpo de normas jurídicas (regras e princípios), qualificado pelo seu conteúdo e por sua função, as quais, estando ou não corporificadas em um documento (ou conjunto de documentos), assumem uma posição diferenciada e privilegiada em relação às demais normas jurídicas."," a constituição pode ser compreendida como um corpo de normas jurídicas (regras e princípios), qualificado pelo seu conteúdo e por sua função, as quais, estando ou não corporificadas em um documento (ou conjunto de documentos), assumem uma posição diferenciada e privilegiada em relação às demais normas jurídicas."
79," Conforme o entendimento do STF, o sigilo de informações necessário à preservação do direito fundamental à intimidade é relativizado quando há interesse da sociedade em conhecer o destino dos recursos públicos."," conforme o entendimento do stf, o sigilo de informações necessário à preservação do direito fundamental à intimidade é relativizado quando há interesse da sociedade em conhecer o destino dos recursos públicos."
80," Segundo o entendimento do STF, exige-se quórum de maioria absoluta dos membros do STF para modular os efeitos de decisão proferida em julgamento de recurso extraordinário no caso em que tenha ocorrido declaração de inconstitucionalidade de lei ou ato normativo."," segundo o entendimento do stf, exigese quórum de maioria absoluta dos membros do stf para modular os efeitos de decisão proferida em julgamento de recurso extraordinário no caso em que tenha ocorrido declaração de inconstitucionalidade de lei ou ato normativo."
81," Os julgamentos devem ser, em regra, públicos, sendo permitida a restrição da publicidade dos atos processuais quando essa medida for necessária para preservar a intimidade do acusado, quando o interesse social assim o exigir ou quando envolver membros do Poder Judiciário."," os julgamentos devem ser, em regra, públicos, sendo permitida a restrição da publicidade dos atos processuais quando essa medida for necessária para preservar a intimidade do acusado, quando o interesse social assim o exigir ou quando envolver membros do poder judiciário."
82," Considere que Orlando, 75 anos de idade, necessite de amparo em razão de seu debilitado estado de saúde. Nessa situação, o amparo a Orlando deverá ser feito preferencialmente em casa-lar credenciada pelo Sistema Único de Saúde."," considere que orlando, 75 anos de idade, necessite de amparo em razão de seu debilitado estado de saúde. nessa situação, o amparo a orlando deverá ser feito preferencialmente em casalar credenciada pelo sistema único de saúde."
83," O meio ambiente ecologicamente equilibrado, direito de todos, é considerado bem de uso comum do povo."," o meio ambiente ecologicamente equilibrado, direito de todos, é considerado bem de uso comum do povo."
84," No caso de, ocorrendo um fato em determinada rodovia federal, serem acionados o corpo de bombeiros militar, a Polícia Rodoviária Federal e a Polícia Federal, as funções de polícia judiciária serão exercidas pela Polícia Rodoviária Federal, dado o local de ocorrência do fato."," no caso de, ocorrendo um fato em determinada rodovia federal, serem acionados o corpo de bombeiros militar, a polícia rodoviária federal e a polícia federal, as funções de polícia judiciária serão exercidas pela polícia rodoviária federal, dado o local de ocorrência do fato."
85," No caso de o Supremo Tribunal Federal receber queixa concernente à prática de crime doloso contra a vida cometido pelo presidente da República, o presidente ficará suspenso de suas funções."," no caso de o supremo tribunal federal receber queixa concernente à prática de crime doloso contra a vida cometido pelo presidente da república, o presidente ficará suspenso de suas funções."
86," Suponha que uma pessoa presa em flagrante solicite informações sobre a identidade dos responsáveis por sua prisão. Nessa situação, o fornecimento dessas informações poderá ser recusado, em razão do princípio da inviolabilidade da vida privada."," suponha que uma pessoa presa em flagrante solicite informações sobre a identidade dos responsáveis por sua prisão. nessa situação, o fornecimento dessas informações poderá ser recusado, em razão do princípio da inviolabilidade da vida privada."
87," Os membros das Forças Armadas são servidores estatais sujeitos a regime jurídico especial, que deve estabelecer normas sobre ingresso e limites de idade, que não gozam de estabilidade."," os membros das forças armadas são servidores estatais sujeitos a regime jurídico especial, que deve estabelecer normas sobre ingresso e limites de idade, que não gozam de estabilidade."
88, Os servidores públicos são os agentes que têm relação de trabalho profissional e permanente com as entidades de direito público., os servidores públicos são os agentes que têm relação de trabalho profissional e permanente com as entidades de direito público.
89,"  A universalidade do voto contrapõe-se à modalidade censitária, não admitindo, aquela, limites econômicos, intelectuais ou de gênero para exercício da capacidade eleitoral ativa.","  a universalidade do voto contrapõese à modalidade censitária, não admitindo, aquela, limites econômicos, intelectuais ou de gênero para exercício da capacidade eleitoral ativa."
90,"  A liberdade do voto abarca, inclusive, o voto nulo ou branco.","  a liberdade do voto abarca, inclusive, o voto nulo ou branco."
91,"  A periodicidade do voto guarda relação íntima com o regime democrático e republicano, que pressupõe alternância de poder.","  a periodicidade do voto guarda relação íntima com o regime democrático e republicano, que pressupõe alternância de poder."
92,"  A Constituição Federal de 1988 passou a admitir o voto impresso, relativizando o sigilo como atributo do sufrágio.","  a constituição federal de 1988 passou a admitir o voto impresso, relativizando o sigilo como atributo do sufrágio."
93,  A Constituição brasileira não admite o voto indireto.,  a constituição brasileira não admite o voto indireto.
94,"  A teoria concretista individual intermediária admite a fixação de um prazo para saneamento da omissão legislativa, findo o qual o exercício do direito é viabilizado judicialmente.","  a teoria concretista individual intermediária admite a fixação de um prazo para saneamento da omissão legislativa, findo o qual o exercício do direito é viabilizado judicialmente."
